hash,time,is_coinbase,input_total,output_total,cdd_total,fees
f4184fc596403b9d638783cf57adfe4c75c605f6356fbc91338530e9831e9e16,2009-01-12 03:30:25,0,5e+09,5e+09,149.1585648148,0
a16f3ce4dd5deb92d98ef5cf8afeaf0775ebca408f708b2146c4fb42b41e14be,2009-01-12 06:02:13,0,4e+09,4e+09,0,0
591e91f809d716912ca1d4a9295e70c3e78bab077683f79350f101da64588073,2009-01-12 06:12:16,0,3e+09,3e+09,0,0
12b5633bad1f9c167d523ad1aa1947b2732a865bf5414eab2f9e5ae5d5c191ba,2009-01-12 06:34:22,0,2.9e+09,2.9e+09,0,0
4385fcf8b14497d0659adccfe06ae7e38e0b5dc95ff8a13d7c62035994a0cd79,2009-01-12 07:16:40,0,1e+08,1e+08,0,0
298ca2045d174f8a158961806ffc4ef96fad02d71a6b84d9fa0491813a776160,2009-01-12 14:21:00,0,1e+08,1e+08,0,0
828ef3b079f9c23829c56fe86e85b4a69d9e06e5b54ea597eef5fb3ffef509fe,2009-01-12 20:04:20,0,2.8e+09,2.8e+09,0,0
a3b0e9e7cddbbe78270fa4182a7675ff00b92872d8df7d14265a2b1e379a9d33,2009-01-14 20:40:55,0,6.1e+09,6.1e+09,76.6742476852,0
d71fd2f64c0b34465b7518d240c00e83f6a5b10138a7079d1252858fe7e6b577,2009-01-15 01:46:26,0,5e+09,5e+09,93.4537037037,0
35288d269cee1941eaebb2ea85e32b42cdb2b04284a56d8b14dcc3f5c65d6055,2009-01-15 05:48:32,0,2.5e+09,2.5e+09,0,0
28204cad1d7fc1d199e8ef4fa22f182de6258a3eaafe1bbe56ebdcacd3069a5f,2009-01-15 06:08:20,0,2.5e+09,2.5e+09,0,0
6b0f8a73a56c04b519f1883e8aafda643ba61a30bd1439969df21bea5f4e27e2,2009-01-15 06:08:20,0,2.5e+09,2.5e+09,0,0
3c1d7e82342158e4109df2e0b6348b6e84e403d8b4046d7007663ace63cddb23,2009-01-15 06:08:20,0,2.5e+09,2.5e+09,0,0
4d6edbeb62735d45ff1565385a8b0045f066055c9425e21540ea7a8060f08bf2,2009-01-15 14:25:20,0,2.5e+10,2.5e+10,128.6967592593,0
6bf363548b08aa8761e278be802a2d84b8e40daefe8150f9af7dd7b65a0de49f,2009-01-15 14:25:20,0,5e+09,5e+09,106.947337963,0
e36f06a8dfe44c3d64be2d3fe56c77f91f6a39da4a5ffc086ecb5db9664e8583,2009-01-15 15:51:56,0,5e+09,5e+09,105.5613425926,0
5439c37c4c6dad4ad93b1d5598d57f1aace9d0f68b892236da903b3f136451a1,2009-01-16 13:51:46,0,1e+10,1e+10,164.9837962963,0
6f7cf9580f1c2dfb3c4d5d043cdbb128c640e3f20161245aa7372e9666168516,2009-01-16 19:18:35,0,1e+10,1e+10,243.6979166667,0
3e4cc1f71c998d080528ae305dffcc01419851e0d7b5191edfada9528625bff6,2009-01-18 20:02:59,0,1.5e+10,1.5e+10,157.6846064815,0
8897ea9ceaf18a546cdc513b9179bae31a462ee5bf47818eb7ba909082d11777,2009-01-19 19:00:42,0,5e+10,5e+10,2026.2424768519,0
90ff15e5a80593977fb2f6666de2860584d39ebc3a41f65a0a1fdc3a851aefda,2009-01-19 19:12:52,0,2.75e+10,2.75e+10,1053.8640046296,0
c445fc181b4570fa107006f31c68132df2df84160f6dc783a21e10f4497e3589,2009-01-20 21:53:12,0,4e+10,4e+10,1423.5434027778,0
